Post ID,Survey,İlçe / Mahalle,"T.C. İzmir Valiliği Çevre ve Şehircilik İl Müdürlüğü, binanızda hasar tespiti işlemi yaptı mı?",T.C. İzmir Valiliği Çevre ve Şehircilik İl Müdürlüğü'nün hasar tespit sonucu nedir?
2819,Hasarlı Bina,İzmir Karşıyaka / Bostanlı,Evet,Bilmiyorum / Henüz belli olmadı
2818,Hasarlı Bina,ÇİĞLİ,Hayır,Bilmiyorum / Henüz belli olmadı
2817,Hasarlı Bina,alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2816,Hasarlı Bina,alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2815,Hasarlı Bina,ÇİĞLİ,Hayır,Bilmiyorum / Henüz belli olmadı
2814,Hasarlı Bina,alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2813,Hasarlı Bina,İzmir,Hayır,Bilmiyorum / Henüz belli olmadı
2812,Hasarlı Bina,Korutürk,Hayır,Bilmiyorum / Henüz belli olmadı
2811,Hasarlı Bina,alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2810,Hasarlı Bina,MİMAR SİNAN MAHALLESİ,Hayır,Bilmiyorum / Henüz belli olmadı
2809,Hasarlı Bina,KÜLTÜR MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2808,Hasarlı Bina,ŞAİR EŞREF BULVARI,Hayır,Bilmiyorum / Henüz belli olmadı
2807,Hasarlı Bina,PARK YAŞAM MAVİŞEHİR OFİSLERİ YALI MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2806,Hasarlı Bina,Bayraklı / Mansuroğlu,Evet,Hafif Hasarlı
2805,Hasarlı Bina,Mansuroğlu Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2804,Hasarlı Bina,Alsancak,Hayır,Bilmiyorum / Henüz belli olmadı
2803,Hasarlı Bina,KÜLTÜR MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2802,Hasarlı Bina,MİMAR SİNAN MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2801,Hasarlı Bina,Şair Eşref Bulvarı,Hayır,Bilmiyorum / Henüz belli olmadı
2800,Hasarlı Bina,Mimar Sinan Mahallesi,Hayır,Bilmiyorum / Henüz belli olmadı
2799,Hasarlı Bina,ALSANCAK,Hayır,Bilmiyorum / Henüz belli olmadı
2798,Hasarlı Bina,MANAVKUYU MAH.,Hayır,Bilmiyorum / Henüz belli olmadı
2797,Hasarlı Bina,Bayraklı,Hayır,Bilmiyorum / Henüz belli olmadı
2796,Hasarlı Bina,Bayraklı manavkuyu,Evet,Orta Hasarlı
2795,Hasarlı Bina,"KONAK, Murat Reis Mahallesi.",Hayır,Bilmiyorum / Henüz belli olmadı
2794,Hasarlı Bina,MUSTAFA KEMAL PAŞA MAH. GÜZELBAHÇE/İZMİR,Hayır,Bilmiyorum / Henüz belli olmadı
